doi	journal	pubMedId	pubMedUrl	publicationTitle	publicationYear	keywords	authors	grantNumber	gseAccns	gseUrls	srpAccns	srpUrls	dpgapAccns	dpgapUrls
10.1177/1087054715569281	J Atten Disord	25646024	https://www.ncbi.nlm.nih.gov/pubmed/?term=25646024	Does Increased Consolidated Nighttime Sleep Facilitate Attentional Control? A Pilot Study of Nap Restriction in Preschoolers	2019	cognitive function; nap restriction; napping; preschoolers; sleep.	Janet C Lam, Taylor A Koriakin, Steven M Scharf, Thornton B A Mason, E Mark Mahone	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1007/s11121-015-0626-z	Prev Sci	26830893	https://www.ncbi.nlm.nih.gov/pubmed/?term=26830893	Prevention of Depression in At-Risk Adolescents: Moderators of Long-term Response	2018	Adolescents; Depression; Moderators; Prevention.	J Garber, V R Weersing, S D Hollon, G Porta, G N Clarke, J F Dickerson, W R Beardslee, F L Lynch, T G Gladstone, W Shamseddeen, D A Brent	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1177/1087054716663632	J Atten Disord	27519529	https://www.ncbi.nlm.nih.gov/pubmed/?term=27519529	Initial Examination of the BRIEF2 in Clinically Referred Children With and Without ADHD Symptoms	2020	attention; executive function; rating scales; self-regulation; validity.	Lisa A Jacobson, Alison E Pritchard, Taylor A Koriakin, Kelly E Jones, E Mark Mahone	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1080/15374416.2016.1225503	J Clin Child Adolesc Psychol	27768384	https://www.ncbi.nlm.nih.gov/pubmed/?term=27768384	Anxiety and Depression in Children of Depressed Parents: Dynamics of Change in a Preventive Intervention	2018	NA	Alexandra H Bettis, Rex Forehand, Sonya K Sterba, Kristopher J Preacher, Bruce E Compas	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1016/j.neuroimage.2016.12.067	Neuroimage	28025129	https://www.ncbi.nlm.nih.gov/pubmed/?term=28025129	Myelin volume fraction imaging with MRI	2018	Histology; MRI; Magnetic resonance imaging; Myelin; Tuberous sclerosis; g-ratio.	Kathryn L West, Nathaniel D Kelm, Robert P Carson, Daniel F Gochberg, Kevin C Ess, Mark D Does	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1177/0271678X16682509	J Cereb Blood Flow Metab	28029271	https://www.ncbi.nlm.nih.gov/pubmed/?term=28029271	Hemodynamic mechanisms underlying elevated oxygen extraction fraction (OEF) in moyamoya and sickle cell anemia patients	2018	MRI; Oxygen extraction fraction; moyamoya; neurophysiology; stroke.	Jennifer M Watchmaker, Meher R Juttukonda, Larry T Davis, Allison O Scott, Carlos C Faraco, Melissa C Gindville, Lori C Jordan, Petrice M Cogswell, Angela L Jefferson, Howard S Kirshner, Manus J Donahue	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1002/dvdy.24485	Dev Dyn	28073171	https://www.ncbi.nlm.nih.gov/pubmed/?term=28073171	Pan-cancer survey of epithelial-mesenchymal transition markers across the Cancer Genome Atlas	2018	EMT; Pan-cancer; TCGA.	Don L Gibbons, Chad J Creighton	"[""CA125123""]"	NA	NA	NA	NA	NA	NA
10.1093/cercor/bhx005	Cereb Cortex	28108498	https://www.ncbi.nlm.nih.gov/pubmed/?term=28108498	mGluR2 versus mGluR3 Metabotropic Glutamate Receptors in Primate Dorsolateral Prefrontal Cortex: Postsynaptic mGluR3 Strengthen Working Memory Networks	2018	Alzheimer's disease; GRM2; GRM3; dendritic spine; schizophrenia.	Lu E Jin, Min Wang, Veronica C Galvin, Taber C Lightbourne, Peter Jeffrey Conn, Amy F T Arnsten, Constantinos D Paspalas	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
10.1007/s10802-017-0281-x	J Abnorm Child Psychol	28215021	https://www.ncbi.nlm.nih.gov/pubmed/?term=28215021	Sluggish Cognitive Tempo, Processing Speed, and Internalizing Symptoms: the Moderating Effect of Age	2018	ADHD; Attention; Children; Depression; Motor speed.	Lisa A Jacobson, Megan Geist, E Mark Mahone	"[""HD079123""]"	NA	NA	NA	NA	NA	NA
10.1016/j.neuroimage.2017.02.048	Neuroimage	28235566	https://www.ncbi.nlm.nih.gov/pubmed/?term=28235566	Tests of cortical parcellation based on white matter connectivity using diffusion tensor imaging	2018	Classification; Cortical parcellation; Cross-validation; DTI tractography; White matter connectivity.	Yurui Gao, Kurt G Schilling, Iwona Stepniewska, Andrew J Plassard, Ann S Choe, Xia Li, Bennett A Landman, Adam W Anderson	"[""HD083211""]"	NA	NA	NA	NA	NA	NA
